Model,Hidden Layers,LR,Batch,Accuracy,Precision,Recall,F1,ROC-AUC
ANN-1,32-16,0.001,32,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8593073593073594
ANN-2,64-32,0.001,32,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8430735930735932
ANN-3,64-32-16,0.0001,16,0.7704918032786885,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.8290043290043291
ANN-4,128-64-32,0.001,64,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.8625541125541125
